,country_name,total_cases,total_deaths,total_recovered,lat,long,text
92,Lebanon,658,21,81,33.854721,35.862285,"Country: Lebanon
 Total Case:658
 Total Death:21
 Total Recovered:81"
93,Saint Lucia,15,,11,13.909444,-60.978893,"Country: Saint Lucia
 Total Case:15
 Total Death:
 Total Recovered:11"
94,Liechtenstein,79,1,55,47.166,9.555373,"Country: Liechtenstein
 Total Case:79
 Total Death:1
 Total Recovered:55"
95,Sri Lanka,237,7,63,7.873054,80.771797,"Country: Sri Lanka
 Total Case:237
 Total Death:7
 Total Recovered:63"
96,Liberia,59,6,4,6.428055,-9.429499,"Country: Liberia
 Total Case:59
 Total Death:6
 Total Recovered:4"
97,Lithuania,1091,30,138,55.169438,23.881275,"Country: Lithuania
 Total Case:1091
 Total Death:30
 Total Recovered:138"
98,Luxembourg,3307,67,500,49.815273,6.129583,"Country: Luxembourg
 Total Case:3307
 Total Death:67
 Total Recovered:500"
99,Latvia,666,5,44,56.879635,24.603189,"Country: Latvia
 Total Case:666
 Total Death:5
 Total Recovered:44"
100,Libya,35,1,9,26.3351,17.228331,"Country: Libya
 Total Case:35
 Total Death:1
 Total Recovered:9"
101,Morocco,1988,127,218,31.791702,-7.09262,"Country: Morocco
 Total Case:1988
 Total Death:127
 Total Recovered:218"
102,Monaco,93,1,6,43.750298,7.412841,"Country: Monaco
 Total Case:93
 Total Death:1
 Total Recovered:6"
103,Moldova,2049,44,171,47.411631,28.369885,"Country: Moldova
 Total Case:2049
 Total Death:44
 Total Recovered:171"
104,Montenegro,288,4,55,42.708678,19.37439,"Country: Montenegro
 Total Case:288
 Total Death:4
 Total Recovered:55"
105,Madagascar,110,,29,-18.766947,46.869107,"Country: Madagascar
 Total Case:110
 Total Death:
 Total Recovered:29"
106,Mali,148,13,34,17.570692,-3.996166,"Country: Mali
 Total Case:148
 Total Death:13
 Total Recovered:34"
107,Mongolia,30,,5,46.862496,103.846656,"Country: Mongolia
 Total Case:30
 Total Death:
 Total Recovered:5"
108,Martinique,158,8,73,14.641528,-61.024174,"Country: Martinique
 Total Case:158
 Total Death:8
 Total Recovered:73"
109,Mauritania,7,1,2,21.00789,-10.940835,"Country: Mauritania
 Total Case:7
 Total Death:1
 Total Recovered:2"
110,Montserrat,11,,1,16.742498,-62.187366,"Country: Montserrat
 Total Case:11
 Total Death:
 Total Recovered:1"
