,country_name,total_cases,total_deaths,total_recovered,lat,long,text
89,Liechtenstein,79,1,55,47.166000000000004,9.555373,"Country: Liechtenstein
 Total Case:79
 Total Death:1
 Total Recovered:55"
90,Sri Lanka,248,7,86,7.873054,80.77179699999999,"Country: Sri Lanka
 Total Case:248
 Total Death:7
 Total Recovered:86"
91,Liberia,76,7,7,6.4280550000000005,-9.429499,"Country: Liberia
 Total Case:76
 Total Death:7
 Total Recovered:7"
92,Lithuania,1239,33,228,55.169438,23.881275,"Country: Lithuania
 Total Case:1239
 Total Death:33
 Total Recovered:228"
93,Luxembourg,3537,72,601,49.815273,6.129583,"Country: Luxembourg
 Total Case:3537
 Total Death:72
 Total Recovered:601"
94,Latvia,712,5,88,56.879635,24.603189,"Country: Latvia
 Total Case:712
 Total Death:5
 Total Recovered:88"
95,Libya,49,1,11,26.3351,17.228331,"Country: Libya
 Total Case:49
 Total Death:1
 Total Recovered:11"
96,Morocco,2685,137,314,31.791702,-7.09262,"Country: Morocco
 Total Case:2685
 Total Death:137
 Total Recovered:314"
97,Monaco,94,3,20,43.750298,7.412841,"Country: Monaco
 Total Case:94
 Total Death:3
 Total Recovered:20"
98,Moldova,2378,57,391,47.411631,28.369884999999996,"Country: Moldova
 Total Case:2378
 Total Death:57
 Total Recovered:391"
99,Montenegro,305,5,55,42.708678000000006,19.37439,"Country: Montenegro
 Total Case:305
 Total Death:5
 Total Recovered:55"
100,Madagascar,120,,35,-18.766947000000002,46.869107,"Country: Madagascar
 Total Case:120
 Total Death:
 Total Recovered:35"
101,Mongolia,31,,5,46.862496,103.84665600000001,"Country: Mongolia
 Total Case:31
 Total Death:
 Total Recovered:5"
102,Martinique,158,8,73,14.641528,-61.024174,"Country: Martinique
 Total Case:158
 Total Death:8
 Total Recovered:73"
103,Mauritania,7,1,2,21.00789,-10.940835,"Country: Mauritania
 Total Case:7
 Total Death:1
 Total Recovered:2"
104,Montserrat,11,,2,16.742498,-62.187366000000004,"Country: Montserrat
 Total Case:11
 Total Death:
 Total Recovered:2"
105,Malta,426,3,99,35.937496,14.375416,"Country: Malta
 Total Case:426
 Total Death:3
 Total Recovered:99"
106,Mauritius,325,9,180,-20.348404000000002,57.552152,"Country: Mauritius
 Total Case:325
 Total Death:9
 Total Recovered:180"
107,Maldives,34,,16,3.202778,73.22068,"Country: Maldives
 Total Case:34
 Total Death:
 Total Recovered:16"
108,Malawi,17,2,3,-13.254307999999998,34.301525,"Country: Malawi
 Total Case:17
 Total Death:2
 Total Recovered:3"
109,Mexico,6875,546,2125,23.634501,-102.552784,"Country: Mexico
 Total Case:6875
 Total Death:546
 Total Recovered:2125"
110,Malaysia,5305,88,3102,4.210483999999999,101.97576600000001,"Country: Malaysia
 Total Case:5305
 Total Death:88
 Total Recovered:3102"
111,Mozambique,34,,2,-18.665695,35.529562,"Country: Mozambique
 Total Case:34
 Total Death:
 Total Recovered:2"
112,Namibia,16,,6,-22.957639999999998,18.49041,"Country: Namibia
 Total Case:16
 Total Death:
 Total Recovered:6"
113,New Caledonia,18,,14,-20.904304999999997,165.618042,"Country: New Caledonia
 Total Case:18
 Total Death:
 Total Recovered:14"
114,Niger,627,18,110,17.607789,8.081666,"Country: Niger
 Total Case:627
 Total Death:18
 Total Recovered:110"
115,Nigeria,493,17,159,9.081999,8.675277000000001,"Country: Nigeria
 Total Case:493
 Total Death:17
 Total Recovered:159"
116,Nicaragua,9,2,6,12.865416,-85.207229,"Country: Nicaragua
 Total Case:9
 Total Death:2
 Total Recovered:6"
117,Netherlands,31589,3601,250,52.132633,5.291266,"Country: Netherlands
 Total Case:31589
 Total Death:3601
 Total Recovered:250"
118,Norway,7036,163,32,60.472024,8.468946,"Country: Norway
 Total Case:7036
 Total Death:163
 Total Recovered:32"
119,Nepal,31,,2,28.394857000000002,84.12400799999999,"Country: Nepal
 Total Case:31
 Total Death:
 Total Recovered:2"
120,New Zealand,1422,11,867,-40.900557,174.88597099999998,"Country: New Zealand
 Total Case:1422
 Total Death:11
 Total Recovered:867"
